GBPUSD Historical Data,,,,,,
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/27/2022 18:00,1.33727,1.339,1.3367,1.33816,8.9,0.07
01/27/2022 14:00,1.33788,1.34064,1.33659,1.33724,-6.4,-0.05
01/27/2022 10:00,1.34266,1.34316,1.33579,1.33798,-46.8,-0.35
01/27/2022 06:00,1.34323,1.34329,1.34053,1.34266,-5.7,-0.04
01/27/2022 02:00,1.34502,1.34502,1.34304,1.34322,-18,-0.13
01/26/2022 22:00,1.3459,1.34677,1.34425,1.34502,-8.8,-0.07
01/26/2022 18:00,1.3522,1.35248,1.34441,1.34642,-57.8,-0.43
01/26/2022 14:00,1.35082,1.35227,1.34917,1.35223,14.1,0.1
01/26/2022 10:00,1.35094,1.3523,1.34977,1.35078,-1.6,-0.01
01/26/2022 06:00,1.35082,1.35145,1.34932,1.35091,0.9,0.01
01/26/2022 02:00,1.3513,1.35212,1.35053,1.35087,-4.3,-0.03
01/25/2022 22:00,1.34995,1.35131,1.34991,1.35129,13.4,0.1
01/25/2022 18:00,1.34975,1.35189,1.34955,1.35031,5.6,0.04
01/25/2022 14:00,1.34672,1.35008,1.34593,1.34976,30.4,0.23
01/25/2022 10:00,1.34822,1.34822,1.34361,1.3467,-15.2,-0.11
01/25/2022 06:00,1.34758,1.34962,1.3471,1.34821,6.3,0.05
01/25/2022 02:00,1.34821,1.34821,1.34667,1.34759,-6.2,-0.05
01/24/2022 22:00,1.34864,1.34919,1.34742,1.34823,-4.1,-0.03
01/24/2022 18:00,1.34553,1.34926,1.34552,1.34902,34.9,0.26
01/24/2022 14:00,1.34727,1.34807,1.34403,1.34551,-17.6,-0.13
01/24/2022 10:00,1.3525,1.3528,1.34711,1.34731,-51.9,-0.39
01/24/2022 06:00,1.35461,1.35546,1.35242,1.35248,-21.3,-0.16
01/24/2022 02:00,1.35606,1.35654,1.35457,1.35464,-14.2,-0.1
01/23/2022 22:00,1.35424,1.35607,1.35424,1.35607,18.3,0.13
01/21/2022 18:00,1.35567,1.35676,1.35481,1.35516,-5.1,-0.04
01/21/2022 14:00,1.35727,1.35734,1.35454,1.35568,-15.9,-0.12
01/21/2022 10:00,1.35682,1.35763,1.35522,1.35725,4.3,0.03
01/21/2022 06:00,1.35926,1.35948,1.35582,1.35685,-24.1,-0.18
01/21/2022 02:00,1.35958,1.36014,1.35882,1.35924,-3.4,-0.03
01/20/2022 22:00,1.35952,1.36019,1.3579,1.35957,0.5,0
01/20/2022 18:00,1.36266,1.36275,1.35871,1.35985,-28.1,-0.21
01/20/2022 14:00,1.36327,1.36617,1.36261,1.36263,-6.4,-0.05
01/20/2022 10:00,1.36271,1.36343,1.35993,1.36328,5.7,0.04
01/20/2022 06:00,1.36238,1.36373,1.3619,1.36274,3.6,0.03
01/20/2022 02:00,1.36287,1.36301,1.36191,1.36239,-4.8,-0.04
01/19/2022 22:00,1.36071,1.36358,1.3604,1.36286,21.5,0.16
01/19/2022 18:00,1.36261,1.36347,1.36109,1.36118,-14.3,-0.11
01/19/2022 14:00,1.36288,1.36488,1.36221,1.36255,-3.3,-0.02
01/19/2022 10:00,1.36138,1.36447,1.36095,1.3629,15.2,0.11
01/19/2022 06:00,1.36079,1.36199,1.35877,1.36134,5.5,0.04
01/19/2022 02:00,1.36012,1.36095,1.35935,1.36084,7.2,0.05
01/18/2022 22:00,1.359,1.36026,1.35878,1.36012,11.2,0.08
01/18/2022 18:00,1.35771,1.36037,1.3573,1.35976,20.5,0.15
01/18/2022 14:00,1.35993,1.35993,1.35726,1.35774,-21.9,-0.16
01/18/2022 10:00,1.36261,1.36276,1.35803,1.35994,-26.7,-0.2
01/18/2022 06:00,1.36341,1.36521,1.36208,1.36259,-8.2,-0.06
01/18/2022 02:00,1.36591,1.36604,1.36212,1.36344,-24.7,-0.18
01/17/2022 22:00,1.36414,1.36614,1.36396,1.3659,17.6,0.13
01/17/2022 18:00,1.36505,1.36511,1.36413,1.36429,-7.6,-0.06
01/17/2022 14:00,1.36516,1.36635,1.36416,1.36509,-0.7,-0.01
01/17/2022 10:00,1.36794,1.36868,1.36373,1.36515,-27.9,-0.2
01/17/2022 06:00,1.36739,1.36901,1.36694,1.36795,5.6,0.04
01/17/2022 02:00,1.36675,1.36817,1.36641,1.36737,6.2,0.05
01/16/2022 22:00,1.36604,1.36783,1.36604,1.36673,6.9,0.05
01/14/2022 18:00,1.36558,1.36838,1.36535,1.36804,24.6,0.18
01/14/2022 14:00,1.37006,1.37046,1.36535,1.36556,-45,-0.33
01/14/2022 10:00,1.37343,1.37343,1.36948,1.37005,-33.8,-0.25
01/14/2022 06:00,1.37322,1.37427,1.37157,1.37341,1.9,0.01
01/14/2022 02:00,1.37118,1.3737,1.37109,1.37322,20.4,0.15
01/13/2022 22:00,1.37064,1.37186,1.37005,1.37122,5.8,0.04
01/13/2022 18:00,1.37124,1.37222,1.37004,1.37026,-9.8,-0.07
01/13/2022 14:00,1.37383,1.37485,1.37084,1.37127,-25.6,-0.19
01/13/2022 10:00,1.37371,1.37488,1.37133,1.37383,1.2,0.01
01/13/2022 06:00,1.371,1.37472,1.37056,1.37373,27.3,0.2
01/13/2022 02:00,1.37072,1.3719,1.37069,1.37095,2.3,0.02
01/12/2022 22:00,1.36997,1.37126,1.36991,1.37072,7.5,0.05
01/12/2022 18:00,1.3707,1.37139,1.36995,1.37011,-5.9,-0.04
01/12/2022 14:00,1.36775,1.37088,1.36674,1.37073,29.8,0.22
01/12/2022 10:00,1.36269,1.36836,1.36204,1.36765,49.6,0.36
01/12/2022 06:00,1.36415,1.36447,1.36228,1.36271,-14.4,-0.11
01/12/2022 02:00,1.36332,1.36458,1.36325,1.36415,8.3,0.06
01/11/2022 22:00,1.36334,1.36425,1.36271,1.36336,0.2,0
01/11/2022 18:00,1.36168,1.36364,1.36116,1.36326,15.8,0.12
01/11/2022 14:00,1.35733,1.36239,1.35614,1.36167,43.4,0.32
01/11/2022 10:00,1.36091,1.36124,1.35649,1.35733,-35.8,-0.26
01/11/2022 06:00,1.35966,1.36194,1.35795,1.36089,12.3,0.09
01/11/2022 02:00,1.35798,1.36001,1.35788,1.3597,17.2,0.13
01/10/2022 22:00,1.3566,1.35873,1.35588,1.35796,13.6,0.1
01/10/2022 18:00,1.35627,1.35805,1.35608,1.35762,13.5,0.1
01/10/2022 14:00,1.35531,1.35707,1.35318,1.35623,9.2,0.07
01/10/2022 10:00,1.35818,1.35971,1.35517,1.35531,-28.7,-0.21
01/10/2022 06:00,1.35859,1.36035,1.35742,1.35821,-3.8,-0.03
01/10/2022 02:00,1.35943,1.35966,1.35803,1.35853,-9,-0.07
01/09/2022 22:00,1.35759,1.35974,1.35668,1.35943,18.4,0.14
01/07/2022 18:00,1.35793,1.35973,1.35757,1.35911,11.8,0.09
01/07/2022 14:00,1.3539,1.35836,1.35359,1.35795,40.5,0.3
01/07/2022 10:00,1.35553,1.35652,1.35296,1.35391,-16.2,-0.12
01/07/2022 06:00,1.35442,1.3557,1.35275,1.35551,10.9,0.08
01/07/2022 02:00,1.3553,1.35531,1.35425,1.35445,-8.5,-0.06
01/06/2022 22:00,1.35322,1.35528,1.35263,1.35527,20.5,0.15
01/06/2022 18:00,1.35303,1.35384,1.3522,1.3534,3.7,0.03
01/06/2022 14:00,1.35346,1.3559,1.35161,1.35304,-4.2,-0.03
01/06/2022 10:00,1.35117,1.35462,1.35095,1.35344,22.7,0.17
01/06/2022 06:00,1.35304,1.35307,1.34904,1.35122,-18.2,-0.13
01/06/2022 02:00,1.35517,1.35519,1.35251,1.35301,-21.6,-0.16
01/05/2022 22:00,1.35496,1.35575,1.35376,1.35516,2,0.01
01/05/2022 18:00,1.35889,1.35984,1.3548,1.35521,-36.8,-0.27
01/05/2022 14:00,1.35482,1.35904,1.35451,1.35888,40.6,0.3
01/05/2022 10:00,1.35313,1.35561,1.35278,1.35482,16.9,0.12
01/05/2022 06:00,1.35279,1.35543,1.3527,1.35315,3.6,0.03
01/05/2022 02:00,1.35384,1.35396,1.35221,1.35277,-10.7,-0.08
01/04/2022 22:00,1.35265,1.354,1.35222,1.35389,12.4,0.09
01/04/2022 18:00,1.35358,1.35377,1.35205,1.35258,-10,-0.07
